k,k^2,time
0,0,0.004290899999999999
1,1,0.004576200000000001
2,4,0.0051813
3,9,0.005741199999999999
4,16,0.0066269
5,25,0.0077407000000000005
6,36,0.0089968
7,49,0.010396900000000004
8,64,0.012756
9,81,0.014218399999999997
10,100,0.0171006
11,121,0.018351200000000012
12,144,0.020683399999999973
13,169,0.023363900000000014
14,196,0.02637809999999998
15,225,0.029689999999999994
16,256,0.03230300000000001
17,289,0.03583280000000002
18,324,0.03926289999999999
19,361,0.041999699999999994
20,400,0.04636459999999998
21,441,0.05055839999999998
22,484,0.05559980000000007
23,529,0.05977049999999995
24,576,0.06419700000000006
25,625,0.07150809999999996
26,676,0.07396240000000001
27,729,0.07855579999999991
28,784,0.08354570000000017
29,841,0.08921929999999989
30,900,0.0948473
31,961,0.10183870000000006
32,1024,0.10795619999999992
33,1089,0.11327960000000008
34,1156,0.1217077999999999
35,1225,0.12825650000000016
36,1296,0.13477289999999975
37,1369,0.14077540000000005
38,1444,0.1486891
39,1521,0.1559153000000002
40,1600,0.16161639999999977
41,1681,0.172044
42,1764,0.18022300000000016
43,1849,0.18839439999999996
44,1936,0.19798679999999996
45,2025,0.2036479
46,2116,0.21412929999999974
47,2209,0.2215163000000004
48,2304,0.2310926000000002
49,2401,0.2396848999999996
50,2500,0.2380448000000001
51,2601,0.2419044999999997
52,2704,0.26299030000000057
53,2809,0.2765022999999999
54,2916,0.28277009999999975
55,3025,0.2956040999999999
56,3136,0.3109634
57,3249,0.31891820000000026
58,3364,0.3311955999999995
59,3481,0.3475360000000009
60,3600,0.35513559999999983
61,3721,0.35874139999999954
62,3844,0.3710570000000004
63,3969,0.3751469
64,4096,0.387830799999999
65,4225,0.40289870000000005
66,4356,0.40970840000000097
67,4489,0.41809709999999994
68,4624,0.43557440000000014
69,4761,0.4480420999999993
70,4900,0.4691471000000007
71,5041,0.48029849999999924
72,5184,0.4942673999999997
73,5329,0.5008395000000008
74,5476,0.5227091999999999
75,5625,0.5349588000000012
76,5776,0.5350823999999988
77,5929,0.5604721000000012
78,6084,0.5861817000000002
79,6241,0.5499205999999986
80,6400,0.5910221000000007
81,6561,0.5989655999999997
82,6724,0.6100640999999996
83,6889,0.6270344999999992
84,7056,0.6598349000000013
85,7225,0.6241512
86,7396,0.6412183999999996
87,7569,0.6523753999999997
88,7744,0.6631507999999997
89,7921,0.6818412999999992
90,8100,0.6939103000000018
91,8281,0.7307421000000005
92,8464,0.8007283999999999
93,8649,0.7977807999999982
94,8836,0.7924911000000009
95,9025,0.8280088999999975
96,9216,0.8705156000000045
97,9409,0.8603784999999959
98,9604,0.8481897000000004
99,9801,0.8418065000000012
